Parcela	No de Colección	Año	Localidad	RaG	GE	CA
And_557	CCC 4937	1997	San Jorge	8.4735	1.0755	2
And_558	CCC 4937.1	1997	San Jorge	3.0584	1.0707	2
And_559	CCC 4938	1997	San Jorge	6.5826	1.0734	3
And_560	CCC 4939	1997	San Jorge	5.433	1.0984	3
And_561	CCC 4944	1997	San Jorge	3.3333	1.0932	3
And_562	CCC 4949	1997	San Jorge	5.0935	1.0962	2
And_563	CCC 4949.A	1997	San Jorge	3.6449	1.1088	2
And_565	CCC 4958	1997	San Jorge	4.5171	1.0878	3
And_566	CCC 4959	1997	San Jorge	2.6589	1.0791	2
And_567	CCC 4960	1997	San Jorge	4.1464	1.0947	3
And_568	CCC 4960.1	1997	San Jorge	4.3645	1.0885	3
And_569	CCC 4960.A	1997	San Jorge	6.405	1.0755	3
And_570	CCC 4961	1997	San Jorge	2.8131	1.0768	3
And_571	CCC 4962	1997	San Jorge	3.3847	1.0981	1
And_572	 CCC4962.A	1997	San Jorge	3.1713	1.0894	1
And_574	 CCC 4964	1997	San Jorge	7.2555	1.0829	2
And_575	CCC 4966	1997	San Jorge	3.0779	1.0993	3
And_576	CCC 4967	1997	San Jorge	4.6573	1.0984	3
And_577	CCC 4968.A	1997	San Jorge	6.6604	1.0743	2
And_578	CCC 4970.1	1997	San Jorge	4.1121	1.0923	3
And_579	CCC 4971	1997	San Jorge	2.4112	1.0885	4
And_580	CCC 4974	1997	San Jorge	7.5607	1.102	4
And_581	CCC 4974.A	1997	San Jorge	6.6822	1.1035	3
And_582	CCC 4975	1997	San Jorge	5.8411	1.1024	2
And_583	CCC 4976	1997	San Jorge	8.2773	1.1081	2
And_584	CCC 4977	1997	San Jorge	3.785	1.0978	3
And_585	CCC 4979	1997	San Jorge	5.0841	1.0982	3
And_586	CCC 4980	1997	San Jorge	6.0872	1.077	2
And_587	CCC 4981	1997	San Jorge	5.7975	1.0844	3
And_588	CCC 4982	1997	San Jorge	4.271	1.0852	3
And_589	CCC 4983	1997	San Jorge	2.9065	1.0908	3
And_590	CCC 4983.A	1997	San Jorge	5.4283	1.0727	3
And_591	CCC 4984	1997	San Jorge	6.4642	1.0826	4
And_592	CCC 4985	1997	San Jorge	5.891	1.0859	3
And_593	CCC 4986	1997	San Jorge	6.3894	1.0856	4
And_594	CCC 4987	1997	San Jorge	4.4059	1.1004	2
And_595	CCC 4988	1997	San Jorge	4.3551	1.1065	2
And_596	CCC 4989	1997	San Jorge	4.5794	1.1139	1
And_597	CCC 4991	1997	San Jorge	5.0156	1.1301	3
And_598	CCC 4992	1997	San Jorge	5.296	1.1119	1
And_599	CCC 4994	1997	San Jorge	6.7352	1.0952	3
And_600	CCC 4995	1997	San Jorge	4.8364	1.1115	1
And_601	CCC 4996	1997	San Jorge	4.4393	1.1028	1
And_602	CCC 5002	1997	San Jorge	6.785	1.1011	3
And_603	CCC 5003	1997	San Jorge	4.5639	1.1021	2
And_604	CCC 5004	1997	San Jorge	5.9657	1.093	1
And_605	CCC 5005	1997	San Jorge	4.1121	1.1153	2
And_606	CCC 5016	1997	San Jorge	2.6947	1.1115	2
And_607	CCC 5017	1997	San Jorge	5.0935	1.0999	3
And_608	CCC 5018	1997	San Jorge	5.9159	1.0993	3
And_609	CCC 5020	1997	San Jorge	6.0312	1.0899	3
And_610	CCC 5028	1997	San Jorge	3.7664	1.1021	2
And_611	CCC 5031	1997	San Jorge	4.3769	1.1156	2
And_612	CCC 5033	1997	San Jorge	5.6012	1.1139	3
And_613	CCC 5035	1997	San Jorge	4.4174	1.0965	3
And_614	CCC 5061	1997	San Jorge	4.2087	1.0935	1
And_615	CCC 5062	1997	San Jorge	4.5467	1.0961	1
And_616	CCC 5066	1997	San Jorge	3.6355	1.099	4
And_617	CCC 5068	1997	San Jorge	4.0779	1.0921	1
And_618	CCC 5069	1997	San Jorge	1.9751	1.0675	2
And_619	CCC 5070	1997	San Jorge	7.4798	1.0975	3
And_620	CCC 5071	1997	San Jorge	5.6542	1.0682	4
And_621	CCC 5072	1997	San Jorge	8.0181	1.0995	4
And_622	CCC 5074	1997	San Jorge	3.5794	1.1038	3
And_623	CCC 5075	1997	San Jorge	2.1263	1.1051	4
And_624	CCC 5076	1997	San Jorge	8.352	1.0943	3
And_625	CCC 5085	1997	San Jorge	6.0467	1.0947	3
And_626	CCC 5086	1997	San Jorge	5.9564	1.0827	3
And_627	CCC 5089	1997	San Jorge	6.8941	1.0689	3
And_628	CCC 5114	1997	San Jorge	7.891	1.1038	3
And_629	CCC 5115	1997	San Jorge	5.2477	1.1031	3
And_630	CCC 5118	1997	San Jorge	7.0031	1.0939	4
And_631	CCC 5121	1997	San Jorge	6.7477	1.082	3
And_632	CCC 5124	1997	San Jorge	4.5047	1.1071	3
And_633	CCC 5124.1	1997	San Jorge	5.3178	1.1095	3
And_634	CCC 5164	1997	San Jorge	5.6729	1.0893	4
And_635	CCC 5164.2	1997	San Jorge	6.1059	1.0871	3
And_636	CCC 5219	1997	San Jorge	5.7414	1.1145	3
And_637	CCC 5289	1997	San Jorge	5.0872	1.0844	1
And_638	CCC 5290	1997	San Jorge	4.7009	1.0821	3
And_639	CCC 657	1997	San Jorge	6.2212	1.0811	2
And_640	CCC 658	1997	San Jorge	5.093	1.1076	2
And_641	CCC 659	1997	San Jorge	6.4361	1.089	4
And_642	CCC 660	1997	San Jorge	3.9128	1.1012	3
And_643	CCC 662	1997	San Jorge	5.9813	1.1232	4
And_644	CCC 663	1997	San Jorge	7.3271	1.1155	3
And_645	CCC 666	1997	San Jorge	4.9813	1.1084	
And_646	CCC 667	1997	San Jorge	4.8255	1.1162	3
And_647	 CCC 668	1997	San Jorge	5.9813	1.1045	3
And_648	CCC 669	1997	San Jorge	4.5452	1.0923	4
And_649	CCC 670	1997	San Jorge	5.2773	1.1241	4
And_650	CCC 671	1997	San Jorge	5.8131	1.1103	4
And_651	CCC 672	1997	San Jorge	6.0374	1.1068	1
And_652	CCC 673	1997	San Jorge	5.9907	1.103	4
And_653	CCC 674	1997	San Jorge	7.5545	1.0991	3
And_654	CCC 676	1997	San Jorge	5.1558	1.084	4
And_655	 CCC 677	1997	San Jorge	6.9408	1.0506	2
And_656	CCC 678	1997	San Jorge	4.9439	1.0716	3
And_657	CCC 679	1997	San Jorge	5.3925	1.0904	2
And_658	CCC 682	1997	San Jorge	8.0685	1.0831	2
And_659	CCC 683	1997	San Jorge	4.1495	1.0963	1
And_660	CCC 684	1997	San Jorge	4.0748	1.1029	3
And_661	CCC 685	1997	San Jorge	4.595	1.0947	3
And_662	CCC 686	1997	San Jorge	6.8941	1.0976	3
And_663	CCC 687	1997	San Jorge	4.6137	1.0929	3
And_664	CCC 688	1997	San Jorge	4.8847	1.0839	2
