sample	K1	K2	K3	K4	K5
And_625	0.5906	0.0003	0	0.2439	0.1652
And_626	0.5915	0.0003	0	0.2424	0.1658
And_627	0.2718	0.0033	0.0394	0.6267	0.0587
And_628	0	0.7467	0.0003	0.253	0
And_629	0	0.3333	0.6667	0	0
And_630	0.9343	0.0353	0.03	0.0003	0
And_631	0.7579	0.0007	0.1399	0.001	0.1006
And_632	0.666	0.0003	0.0003	0	0.3333
And_633	0.3878	0.1231	0.077	0.2634	0.1487
And_634	0	0.1745	0.2356	0.5849	0.005
And_635	0.8783	0.0213	0.0017	0.0987	0
And_636	0.8769	0.0257	0.0013	0.0961	0
And_637	0.879	0.0223	0.0013	0.0973	0
And_638	0	0.1767	0.2371	0.5858	0.0003
And_639	0.7544	0.0047	0.0013	0.1263	0.1133
And_640	0	1	0	0	0
And_641	0	1	0	0	0
And_642	0	0.104	0.2258	0.6702	0
And_643	0	0.045	0	0.955	0
And_644	0	1	0	0	0
And_645	0.0643	0.747	0.087	0.0917	0.01
And_646	0	1	0	0	0
And_647	0	1	0	0	0
And_648	0.5437	0.0087	0.0043	0.298	0.1453
And_649	0.0003	0.2478	0.3262	0.4256	0
And_650	0	1	0	0	0
And_651	0.0293	0.8597	0.0503	0.0517	0.009
And_652	0	1	0	0	0
And_653	0	1	0	0	0
And_654	0	0.046	0	0.954	0
And_655	0	1	0	0	0
And_656	0	1	0	0	0
And_657	0.3333	0	0	0	0.6667
And_658	0.6136	0.0007	0.0007	0.2387	0.1464
And_659	0	0.7383	0.006	0.2557	0
And_660	0.5038	0.0956	0.1356	0.0373	0.2277
And_661	0	0.3823	0.1903	0.4257	0.0017
And_662	0.6038	0.004	0.028	0.2476	0.1167
And_663	0	0.066	0.1881	0.7459	0
And_664	0.5581	0.0173	0.014	0.3556	0.055
And_665	0.5343	0.0934	0.1375	0.015	0.2199
And_666	0	0.3354	0.3128	0.3518	0
And_667	0	0.3333	0.6667	0	0
And_668	0	0.0003	0	0.9997	0
And_669	0	0.0003	0	0.9997	0
And_670	0	0.0003	0	0.9997	0
And_671	0	0.3333	0.6667	0	0
And_672	0.0043	0.3567	0.2097	0.41	0.0193
And_673	0	0.3333	0.6667	0	0
And_674	0.1375	0.1498	0.0267	0.2981	0.388
And_675	0.5433	0.067	0.001	0.2307	0.158
And_676	0.9337	0.034	0.032	0.0003	0
And_677	0.6445	0.008	0.0763	0.1576	0.1136
And_678	0.1363	0.1527	0.026	0.2963	0.3887
And_680	0.6398	0.033	0.0153	0.1829	0.129
And_681	0.3333	0	0	0	0.6667
And_682	0.6465	0.0087	0.0733	0.1556	0.1159
And_683	0.5428	0.0656	0.001	0.2329	0.1576
And_685	0.665	0.0007	0.001	0	0.3333
And_686	0.8219	0.0003	0	0.065	0.1127
And_687	0.5929	0.0003	0	0.2441	0.1627
And_688	0.562	0.001	0.003	0.3133	0.1207
And_689	0.4327	0.0266	0.007	0.2835	0.2502
And_690	0.5273	0.0423	0.0527	0.2263	0.1513
And_691	0	1	0	0	0
And_692	0.6261	0.0519	0.0177	0.192	0.1123
And_694	0.5903	0.0117	0.0093	0.2767	0.112
And_696	0	0.3333	0.6667	0	0
And_697	0.8286	0.0003	0	0.0587	0.1124
And_698	0.1697	0.0557	0.1063	0.6377	0.0307
And_700	0.6891	0.0003	0	0.2171	0.0934
And_701	0.107	0.7633	0.0603	0.0083	0.061
And_702	0	1	0	0	0
And_703	0	0.999	0.0007	0.0003	0
And_704	0	1	0	0	0
And_706	0.001	0.0523	0.1248	0.8206	0.0013
And_707	0.5027	0.083	0.01	0.284	0.1203
And_708	0.0003	0.746	0.0003	0.253	0.0003
And_709	0.0037	0.3598	0.2118	0.4038	0.021
And_710	0.8273	0.0003	0	0.0613	0.111
And_711	0.4937	0.0303	0.0623	0.2931	0.1206
And_712	0	0.1047	0.2267	0.6687	0
And_713	0	0.066	0.1871	0.7469	0
And_714	0.7593	0.001	0.1389	0.001	0.0998
And_715	0.3669	0.1376	0.073	0.3522	0.0703
And_716	0.0573	0.089	0.1177	0.7353	0.0007
And_717	0.7573	0.0007	0.142	0.0007	0.0994
And_718	0	0.1663	0.2207	0.6127	0.0003
And_719	0.1382	0.1503	0.0253	0.2985	0.3877
And_127_A	0.0007	0.2111	0.1344	0.6444	0.0093
Phu_119	0.1963	0.094	0.0567	0.6128	0.0403
Phu_122	0.1927	0.0957	0.059	0.6139	0.0387
Phu_47	0.1629	0.13	0.111	0.5682	0.028
