sample	K1	K2	K3	K4	K5
And_139	0	0.3237	0.2157	0.4607	0
And_140	0	0.3836	0.1904	0.4246	0.0013
And_141	0	0.3274	0.2171	0.4555	0
And_142	0	0.0667	0.1881	0.7452	0
And_143	0.903	0.0233	0.0643	0.0093	0
And_144	0.0003	0.2111	0.1344	0.6448	0.0093
And_146	0	0.3271	0.2173	0.4555	0
And_147	0.0364	0.1571	0.1848	0.5974	0.0244
And_148	0	0.3276	0.2191	0.4533	0
And_149	0.399	0.086	0.0503	0.4113	0.0533
And_150	0.2189	0.168	0.3492	0.2279	0.036
And_151	0.0187	0.2589	0.2859	0.4062	0.0303
And_152	0	0.3498	0.2661	0.3834	0.0007
And_154	0.8783	0.0203	0.0013	0.1	0
And_155	0.0013	0.001	0.9963	0.0007	0.0007
And_156	0.666	0.0003	0.0003	0	0.3333
And_157	0.5419	0.0663	0.0017	0.2313	0.1588
And_158	0	0.1837	0.24	0.576	0.0003
And_160	0	0.3333	0.6667	0	0
And_163	0.101	0.1306	0.1393	0.5048	0.1243
And_164	0.0003	0.2113	0.135	0.645	0.0083
And_166	0.8765	0.0236	0.002	0.0979	0
And_167	0.8788	0.022	0.0017	0.0976	0
And_168	0.6199	0.0513	0.0187	0.1942	0.1159
And_169	0	0.2911	0.2797	0.4248	0.0043
And_171	0.005	0.1727	0.2313	0.5827	0.0083
And_172	0.0033	0.0814	0.0967	0.8155	0.003
And_173	0	0.269	0.262	0.468	0.001
And_174	0	0.2951	0.321	0.3839	0
And_175	0.0937	0.1741	0.1394	0.5795	0.0133
And_176	0	0.2925	0.3233	0.3842	0
And_177	0.0003	0.2053	0.2725	0.5218	0
And_178	0.666	0.0003	0.0003	0	0.3333
And_179	0	0.2394	0.3183	0.4423	0
And_180	0.0003	0.2017	0.2747	0.5233	0
And_181	0.0003	0.3129	0.3012	0.3772	0.0083
And_182	0.9046	0.023	0.062	0.0103	0
And_184	0.0013	0.2189	0.3388	0.4363	0.0047
And_185	0.412	0.024	0.0317	0.3827	0.1496
And_186	0	0	1	0	0
And_188	0	0.2931	0.2806	0.4226	0.0037
And_189	0.1392	0.1496	0.0256	0.2969	0.3887
And_190	0	0.3169	0.2581	0.4243	0.0007
And_191	0.1023	0.2403	0.1453	0.505	0.007
And_193	0.2481	0.131	0.0376	0.1665	0.4168
And_194	0.0007	0.2037	0.288	0.5027	0.005
And_195	0	0.747	0.0007	0.2523	0
And_196	0.727	0.0003	0.0007	0.167	0.105
And_198	0.666	0.0003	0.0003	0	0.3333
And_199	0.6064	0.007	0.0003	0.2838	0.1024
And_200	0.0003	0.7353	0.0073	0.2567	0.0003
And_201	0	0.2604	0.2674	0.4722	0
And_202	0.5758	0.004	0.1403	0.1626	0.1173
And_203	0.0097	0.286	0.2953	0.4027	0.0063
And_204	0.0193	0.3159	0.2192	0.4425	0.003
And_205	0.0003	0.3414	0.3491	0.2994	0.0097
And_206	0.0003	0.2893	0.2773	0.429	0.004
And_207	0.003	0.3262	0.3105	0.3599	0.0003
And_208	0	0.3333	0.6663	0.0003	0
And_209	0	0.333	0.6667	0.0003	0
And_210	0	0.3333	0.6667	0	0
And_211	0	0.3333	0.6667	0	0
And_212	0.3185	0.096	0.1711	0.3058	0.1087
And_213	0	1	0	0	0
And_214	0	1	0	0	0
And_215	0	1	0	0	0
And_216	0	0.0003	0	0.9997	0
And_217	0	0.3333	0.6667	0	0
And_218	0.0053	0.2767	0.212	0.477	0.029
And_219	0.0003	0.2919	0.2792	0.4245	0.004
And_220	0.0003	0.0003	0.999	0.0003	0
And_221	0	0.3333	0.6667	0	0
