Samples,BLIGHT
480,0.68372525
481,0.69183168
482,0.67209158
483,0.68075495
484,0.67258663
485,0.68044554
486,0.67425743
487,0.68199257
488,0.66905941
489,0.68013614
490,0.67475248
491,0.66868812
492,0.6605198
493,0.67246287
495,0.67308168
496,0.67431931
497,0.66881188
498,0.66930693
500,0
501,0.67568069
502,0.67351485
503,0.68019802
504,0.67376238
505,0.67469059
506,0.68106436
507,0.67976485
508,0.66701733
509,0.67642327
510,0.69016089
511,0.68032178
512,0.68100248
514,0.67425743
515,0.67753713
516,0.67648515
517,0.66868812
518,0.67227723
519,0.66794554
520,0.67165842
521,0.67339109
522,0.68087871
523,0.68335396
524,0.67277228
525,0.6887995
526,0.67246287
527,0.67883663
528,0.67431931
529,0.67215347
530,0.6667698
531,0.67852723
532,0.67753713
533,0.67809406
534,0.68087871
535,0.68335396
537,0.67382426
538,0.67444307
539,0.66986386
540,0.6737005
541,0.66670792
542,0.67407178
543,0.6644802
544,0.66417079
545,0.66794554
546,0.67153465
547,0.67141089
548,0.67747525
549,0.66819307
550,0.66930693
551,0.66503713
552,0.67821782
553,0.68155941
554,0.67685644
556,0.67295792
558,0.66256188
559,0.66423267
560,0.67970297
561,0.67648515
562,0.67834158
563,0.68613861
565,0.67314356
566,0.6677599
567,0.67741337
568,0.67357673
569,0.66553218
570,0.66633663
571,0.67951733
572,0.67413366
574,0.67011139
575,0.6802599
576,0.67970297
577,0.6647896
579,0.67357673
580,0.68193069
581,0.68285891
582,0.68217822
583,0.68570545
584,0.67933168
585,0.67957921
586,0.6664604
588,0.67153465
589,0.675
590,0.6637995
591,0.66992574
592,0.67196782
593,0.67178218
594,0.68094059
595,0.68471535
596,0.68929455
597,0.69931931
598,0.68805693
599,0.67772277
600,0.68780941
601,0.68242574
602,0.68137376
603,0.68199257
604,0.67636139
605,0.69016089
606,0.68780941
607,0.68063119
608,0.6802599
609,0.67444307
610,0.68199257
611,0.69034653
612,0.68929455
613,0.67852723
614,0.67667079
615,0.6782797
616,0.68007426
617,0.67580446
618,0.66058168
619,0.67914604
620,0.66101485
621,0.68038366
622,0.68304455
623,0.68384901
624,0.67716584
625,0.67741337
626,0.66998762
627,0.66144802
628,0.68304455
629,0.68261139
630,0.67691832
631,0.66955446
632,0.68508663
633,0.68657178
634,0.67407178
635,0.6727104
636,0.68966584
637,0.6710396
638,0.66961634
639,0.66899752
640,0.68539604
641,0.67388614
642,0.68143564
643,0.6950495
644,0.69028465
646,0.69071782
647,0.68347772
648,0.67592822
649,0.69560644
650,0.68706683
652,0.6825495
653,0.68013614
654,0.67079208
655,0.65012376
656,0.66311881
657,0.67475248
658,0.67023515
659,0.67840347
661,0.67741337
662,0.67920792
663,0.6762995
664,0.6707302
