FID	IID	BLIGHT
0	372	0.67747525
0	374	0.67085396
0	378	0.68725248
0	379	0.69121287
0	380	0.66788366
0	383	0.66082921
0	384	0.67159653
0	385	0.67586634
0	386	0.68094059
0	388	0.6914604
0	394	0.67462871
0	396	0.66918317
0	397	0.67549505
0	398	0.69090347
0	400	0.67766089
0	401	0.67345297
0	404	0.66986386
0	405	0.67382426
0	406	0.6789604
0	407	0.68230198
0	408	0.67407178
0	409	0.68774752
0	410	0.66485149
0	412	0.66998762
0	414	0.67054455
0	415	0.67902228
0	308	0.66751238
0	109	0.65575495
0	189	0.67537129
0	191	0.67852723
0	193	0.66516089
0	204	0.67233911
0	418	0.68118812
0	423	0.6835396
0	424	0.70247525
0	430	0.68372525
0	431	0.69709158
0	432	0.68415842
0	433	0.68279703
0	434	0.68805693
0	439	0.67790842
0	441	0.675
0	442	0.68397277
0	444	0.68261139
0	445	0.67735149
0	447	0.67970297
0	449	0.66856436
0	451	0.67438119
0	453	0.67883663
0	455	0.68378713
0	456	0.6884901
0	457	0.68372525
0	459	0.67128713
0	460	0.67376238
0	461	0.67617574
0	462	0.67834158
0	463	0.68341584
0	464	0.68861386
0	466	0.68886139
0	467	0.68774752
0	468	0.68081683
0	472	0.67481436
0	476	0.68087871
0	477	0.68347772
0	478	0.68100248
0	479	0.68106436
0	480	0.68372525
0	481	0.69183168
0	483	0.68075495
0	484	0.67258663
0	485	0.68044554
0	487	0.68199257
0	488	0.66905941
0	489	0.68013614
0	492	0.6605198
0	495	0.67308168
0	496	0.67431931
0	497	0.66881188
0	498	0.66930693
0	501	0.67568069
0	502	0.67351485
0	503	0.68019802
0	504	0.67376238
0	506	0.68106436
0	507	0.67976485
0	510	0.69016089
0	511	0.68032178
0	512	0.68100248
0	514	0.67425743
0	516	0.67648515
0	517	0.66868812
0	518	0.67227723
0	520	0.67165842
0	521	0.67339109
0	525	0.6887995
0	526	0.67246287
0	527	0.67883663
0	528	0.67431931
0	529	0.67215347
0	531	0.67852723
0	532	0.67753713
0	533	0.67809406
0	535	0.68335396
0	537	0.67382426
0	538	0.67444307
0	539	0.66986386
0	540	0.6737005
0	541	0.66670792
0	542	0.67407178
0	543	0.6644802
0	544	0.66417079
0	545	0.66794554
0	547	0.67141089
0	548	0.67747525
0	549	0.66819307
0	551	0.66503713
0	553	0.68155941
0	110	0.66373762
0	116	0.67178218
0	273	0
0	276	0.67970297
0	277	0.67549505
0	278	0.67790842
0	284	0.67555693
0	285	0.67141089
0	289	0.67778465
0	303	0.6802599
0	304	0.68050743
0	305	0.66516089
0	306	0.67865099
0	311	0.68125
0	315	0.66639851
0	328	0.66701733
0	334	0.68595297
0	343	0.68910891
0	355	0.67673267
0	375	0.68131188
0	393	0.6779703
0	403	0.66726485
0	450	0.67549505
0	482	0.67209158
0	486	0.67425743
0	491	0.66868812
0	500	0
0	515	0.67753713
0	519	0.66794554
0	522	0.68087871
0	546	0.67153465
0	550	0.66930693
0	552	0.67821782
0	554	0.67685644
0	556	0.67295792
0	558	0.66256188
0	559	0.66423267
